"","Peso.Ave.S1","Peso.Ave.S4","Peso.Ave.S10","Peso.Ave.S14","X..Uniformidad.S1","X..Uniformidad.S4","X..Uniformidad.S10","X..Uniformidad.S14","gr.ave.dia..S1","gr.ave.dia..S4","gr.ave.dia..S10","gr.ave.dia..S14","Cosm.Acum.S1","Cosm.Acum.S4","Cosm.Acum.S10","Cosm.Acum.S14","Mort.Selc.Acum.S1","Mort.Selc.Acum.S4","Mort.Selc.Acum.S10","Mort.Selc.Acum.S14","Fecha.Encaseta","Sistema.Levante","Clima.Levante","PX.S25","PX.S40","PX.S72","PX.S80","HAA.S25","HAA.S40","HAA.S72","HAA.S80","gr.ave.dia..S25","gr.ave.dia..S40","gr.ave.dia..S72","gr.ave.dia..S80","Conv.Acu.S72","Conv.Acu.S80","Mort.selcc.Acu..S25","Mort.selcc.Acu..S40","Mort.selcc.Acu..S72","Mort.selcc.Acu..S80","gr.Hvo.S72","gr.Hvo.S80","G.P.S25","Peso.Hvo..Prom.Acu..S25","Peso.Hvo..Prom.Acu..S40","Peso.Hvo..Prom.Acu..S72","Peso.Hvo..Prom.Acu..S80","Masa.Hvo.S72","Masa.Hvo.S80","Sistema.Produccion","Clima.Produccion"
"SM-54-120719",84,287,NA,1222,66.7,70.2,81.4,85.2,10.7,29.1,58.3,68.6,74.9,524.1,2448.7,4404.3,0.22,0.29,0.58,0.76,"2019-09-20","Batería Automática","Frío",96.3,94.2,NA,NA,39.5,138.5,NA,NA,108,108,NA,NA,NA,NA,0.48,2,NA,NA,NA,NA,12.1,53.2,57.6,0,0,NA,NA,"Batería Automática","Frío"
"SRM-161-281117",75,293,950,1337,69.9,68.4,78.2,86.4,12.4,26.1,62,72.5,86.6,579.5,2740.4,4707.5,0.29,2.62,15.51,15.73,"2016-05-31","Jaula Tradicional","Frío",93.5,90.6,NA,NA,30.9,125.1,NA,NA,123,118,NA,NA,NA,NA,1.45,3.1,NA,NA,NA,NA,0,0,0,0,0,NA,NA,"Piso","Frío"
"STR-349-310516",72,265,862,1270,80.1,88.3,83.6,89.5,12.6,31.3,60.3,68.3,88,639.5,2660,4514.5,0.24,0.43,0.77,0.91,"2016-10-25","Piso","Frío",NA,93,79.6,74.1,NA,135.3,326.7,368,NA,109,108,109,1.514,1.533,NA,1.1,2.4,2.9,126.167,127.75,NA,NA,60.2,62.7,62.8,20.5,23.1,"Batería Automática","Frío"
"STR-353-251016",70,288,936,1313,66.8,87,83,89.9,12.4,30.9,59.7,68.4,87.1,622.5,2676.7,4640,1.05,1.41,1.62,1.75,"2016-11-22","Piso","Frío",94.75,91.9,81.4,76.1,29.35,127.25,315,358,114,114.5,111.5,113,1.564,1.558,0.62,1.585,4.615,7,130.333,129.833,12.9,55.55,59.05,60.75,30.1,19.15,21.6,"Piso","Frío"
"STR-355-221116",69,293,877,1210,92.4,92.1,88.2,85.3,14.2,33.9,57.7,56.7,99.4,707.4,2706.8,4508.3,1.25,1.5,1.66,1.75,"2016-11-22","Piso","Frío",94.45,93.3,79.05,NA,27.6,126.2,314.1,NA,109.5,110,107.5,NA,1.558,NA,0.325,1.36,4.645,NA,129.8335,NA,27.3,55.65,59.5,61.4,0,19.25,NA,"Jaula Tradicional","Frío"
"STR-356-221116",76,296,937,1207,80,81.2,81.1,89.8,16.5,27.9,57.1,73,115.8,634.2,2624.8,4561.1,0.29,0.56,0.86,1.01,"2016-12-27","Piso","Frío",96,82.7,NA,NA,32.3,128.7,NA,NA,112,112,NA,NA,NA,NA,0.33,1.27,NA,NA,NA,NA,6.6,55,57.6,0,0,NA,NA,"Piso","Frío"
"STR-358-070217",83,338,968,1320,67.3,82.2,85.2,87.5,12.5,28.2,57.5,65.1,87.2,568.9,2505.6,4359.1,0.19,0.34,0.53,0.65,"2017-04-04","Batería Automática","Frío",93.55,89.45,78.75,66.4,36.25,132.2,314.8,345.3,112.5,114.5,111,112,1.581,1.666,1.265,2.62,7.585,6.78,131.75,138.833,7.65,55.15,58.6,29.85,30,9.2,20.7,"Piso","Frío"
"STR-359-040417",66,286,931,1261,78.7,83.1,84.1,85.9,13.4,29.9,55,60.1,93.5,573.1,2365.8,4087.7,0.09,0.3,0.39,0.48,"2017-03-31","Piso","Frío",94.38,91.5,77.4,71.8,34.58,130.16,310.9,349.2,110.6,113.2,109,110,1.572,1.593,0.734,2.066,6.87,8.9,131,132.75,13.06,55.9,59.3,12.46,12.5,19.4,21.8,"Batería Automática","Frío"
"STR-359A-310317",77,320,961,1233,83.9,91.1,79.6,92.1,14.6,31.5,55.4,72.8,102.3,660.3,2608.5,4515.8,0.26,0.47,0.63,0.84,"2017-04-25","Jaula Tradicional","Frío",88.45,92.25,NA,NA,26.9,121.3,NA,NA,113,115,NA,NA,NA,NA,1.125,3.34,NA,NA,NA,NA,6.7,56.25,60.1,0,0,NA,NA,"Batería Automática","Frío"
"STR-360-250417",77,314,899,1257,81.1,74,81.8,86.9,11.6,26.7,56.5,66.4,81.2,574.6,2501.8,4414.1,0.18,0.44,0.59,0.65,"2017-04-28","Piso","Frío",90.64,91.98,NA,NA,22.4,119.16,NA,NA,111.8,112.8,NA,NA,NA,NA,0.398,1.562,NA,NA,NA,NA,7.24,55.5,59.28,0,0,NA,NA,"Jaula Tradicional","Frío"
"STR-361-280417",71,266,815,1138,87.1,93,88.3,92,12.8,28.9,55.9,68.3,89.8,627.3,2456.9,4341.8,0.09,0.13,0.33,0.4,"2017-07-11","Piso","Frío",96,92.4,78.1,70.1,36.4,135,320.7,358.8,112,112,111,110,1.531,1.558,0.58,1.58,6.1,10.92,127.583,129.833,13.8,56.7,59.4,61,61.3,19.6,22,"Jaula Tradicional","Frío"
"STR-363-110717",85,336,951,1288,67.1,86.1,90.6,90.9,12,30.3,58.5,69.3,83.7,628.7,2570.4,4512.5,0.28,0.43,0.67,0.77,"2017-09-01","Batería Automática","Frío",95.45,92.1666666666667,76.7,NA,31.7166666666667,129.6,317.4,NA,110.833333333333,112.333333333333,110,NA,1.575,NA,0.376666666666667,1.35,4.03,NA,131.25,NA,17.45,57.1333333333333,59.35,10.1333333333333,0,19.3,NA,"Batería Automática","Frío"
"STR-364-010917",72,293,918,1271,66.4,84.7,82,80.6,14.1,32,62.7,69.7,98.8,679,2724.9,4667.1,0.21,0.36,0.51,0.55,"2017-09-26","Piso","Frío",90.5,92.65,78.95,NA,28,125.9,314.45,NA,110.5,111.5,105.5,NA,1.585,NA,0.265,0.915,3.185,NA,132.083,NA,5.95,54.65,59,61.5,0,19.35,NA,"Jaula Tradicional","Frío"
"STR-365-260917",69,289,848,1162,75.9,82.6,90,84.3,14.6,26.3,56.9,69.9,102.1,567.8,2435.5,4359.6,0.12,0.27,0.47,0.5,"2017-12-12","Piso","Frío",96.7,93.5,NA,NA,37.5,137.1,NA,NA,111,110,NA,NA,NA,NA,0.46,0.84,NA,NA,NA,NA,14.7,54.2,57.5,0,0,NA,NA,"Jaula Tradicional","Frío"
"STR-368-121217",80,322,939,1262,68,83.5,85.8,87.6,13.1,28.3,55.9,68.9,91.4,595,2486.1,4345.9,0.25,0.48,0.67,0.77,"2018-02-02","Batería Automática","Frío",93.45,90.75,NA,NA,30.65,127.55,NA,NA,112,104.5,NA,NA,NA,NA,0.335,0.925,NA,NA,NA,NA,21.36,22.36,23.92,0,0,NA,NA,"Batería Automática","Frío"
"STR-369-020218",75,296,920,1218,83.4,84,85.7,93,13.2,28.4,56.6,71.8,92.1,591.8,2379.7,4277.9,0.06,0.17,0.46,0.58,"2018-05-18","Piso","Frío",91.4,92.7,NA,NA,28.8,123.8,NA,NA,114,114,NA,NA,NA,NA,0.74,2.3,NA,NA,NA,NA,16.6,51.8,56.4,0,0,NA,NA,"Jaula Tradicional","Frío"
"STR-370-180518",81,343,980,1297,63.6,70.1,90.6,92.4,13.7,29.2,65.9,75.2,95.9,621,2735.1,4770.1,0.35,0.78,3.13,3.23,"2018-07-03","Piso","Frío",95.4,93.5,NA,NA,32.6,133.4,NA,NA,113.5,115,NA,NA,NA,NA,1.175,2.53,NA,NA,NA,NA,18.35,53.85,28.5,0,0,NA,NA,"Piso","Frío"
"STR-371-030718",63,276,935,1269,59.3,81,81.4,91.2,14.9,28.8,54.9,62.8,104.2,586.5,2435,4228.7,0.18,0.44,0.7,1.01,"2018-07-03","Piso","Frío",95.5,94,NA,NA,28.7,127.2,NA,NA,111,111,NA,NA,NA,NA,0.44,1.37,NA,NA,NA,NA,20.5,53.5,56.5,0,0,NA,NA,"Piso","Frío"
