"","Peso.Ave.S1","Peso.Ave.S4","Peso.Ave.S10","Peso.Ave.S14","X..Uniformidad.S1","X..Uniformidad.S4","X..Uniformidad.S10","X..Uniformidad.S14","gr.ave.dia..S1","gr.ave.dia..S4","gr.ave.dia..S10","gr.ave.dia..S14","Cosm.Acum.S1","Cosm.Acum.S4","Cosm.Acum.S10","Cosm.Acum.S14","Mort.Selc.Acum.S1","Mort.Selc.Acum.S4","Mort.Selc.Acum.S10","Mort.Selc.Acum.S14","Fecha.Encaseta","Sistema.Levante","Clima.Levante","PX.S25","PX.S40","PX.S72","PX.S80","HAA.S25","HAA.S40","HAA.S72","HAA.S80","gr.ave.dia..S25","gr.ave.dia..S40","gr.ave.dia..S72","gr.ave.dia..S80","Conv.Acu.S72","Conv.Acu.S80","Mort.selcc.Acu..S25","Mort.selcc.Acu..S40","Mort.selcc.Acu..S72","Mort.selcc.Acu..S80","gr.Hvo.S72","gr.Hvo.S80","G.P.S25","Peso.Hvo..Prom.Acu..S25","Peso.Hvo..Prom.Acu..S40","Peso.Hvo..Prom.Acu..S72","Peso.Hvo..Prom.Acu..S80","Masa.Hvo.S72","Masa.Hvo.S80","Sistema.Produccion","Clima.Produccion"
"EMS-10-170918",84,274,856,1199,83.6,75,82.7,86.9,12,34.6,66.3,63.9,83.9,650.6,2677,4632,0.26,0.89,1.09,1.36,"2018-09-17","Piso","Cálido",94.4,90.6,NA,NA,26.8,124,NA,NA,99,105,NA,NA,NA,NA,0.71,1.96,NA,NA,NA,NA,16.1,49.3,54,0,0,NA,NA,"Batería Automática","Cálido"
"EMS-12-011019",82,288,955,1258,91.3,73,82,82.9,14.8,26.2,57.3,63.7,103.4,553,2410.7,4152.2,0.16,0.24,0.32,0.47,"2019-10-01","Batería Automática","Cálido",95.8,92.1,NA,NA,37.5,131.7,NA,NA,96,105,NA,NA,NA,NA,1.12,2.57,NA,NA,NA,NA,2.6,50.3,55.1,0,0,NA,NA,"Batería Automática","Cálido"
"EMS-184-270818",72,267,867,1227,82,82,85,87,11.1,26.2,57.4,76.9,77.6,549.3,2396.4,4446.3,0.29,1.43,2.07,2.22,"2018-08-27","Piso","Frío",95.7,93.8,79.5,77.2,22.3,122.3,313.6,355,110,113,111,111,1.543,1.558,0.26,1.26,6.66,7.89,128.583,129.833,18.8,55.4,59.9,61.8,62.2,19.4,22.1,"Batería Automática","Frío"
"EMS-186-200519",73,274,904,1272,82,83,86,87,8.6,31.2,61.5,73.6,60.5,535.9,2580.4,4595.8,0.34,0.55,1.07,1.19,"2019-05-20","Piso","Frío",96.9,94.3,82.6,78,33.2,132.6,324.6,365.9,113,108,113,111,1.492,1.514,0.52,1.68,6.46,8.56,124.333,126.167,9.8,52.2,57.6,60.4,60.8,19.6,22.2,"Batería Automática","Frío"
"EMS-E008-021017",76,276,777,1135,87.5,82.3,91,95,9,25.8,63.2,79.9,63.2,514.2,2360.4,4428.3,0.27,0.39,0.61,0.76,"2017-10-02","Piso","Cálido",82.5,82.5,82.9,80.3,16.9,107.9,295.8,338.6,83,105,107,99,1.48,1.483,0.61,2.33,4.42,5.65,123.333,123.583,16.8,49.7,55.8,58.5,58.8,17.3,19.9,"Batería Automática","Cálido"
"EMS-E009-270318",84,274,856,1199,83.6,75,82.7,86.9,11.4,30.9,60,76.9,79.6,606.7,2456.9,4402.9,0.25,0.53,0.69,1.57,"2018-03-27","Piso","Cálido",82.1,90.1,85.2,82.3,16.8,108.5,294.9,338.9,91,104,115,118,1.533,1.548,0.46,1.52,5.57,6.63,127.75,129,22.1,47.9,54.9,57.8,58.3,17,19.8,"Batería Automática","Cálido"
"GLL-26-161118",82,298,876,1217,88,92,85,84,9.6,29.8,56.3,67.2,67.1,563,2446.3,4238.5,0.29,0.6,1.19,1.39,"2018-11-16","Piso","Frío",93.9,NA,NA,NA,29.4,NA,NA,NA,96,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,11.1,49.6,0,0,0,NA,NA,"Temp","Cálido"
"GMT-554-230617",80,219,690,1080,82,75,65,78,10.8,22.6,4.4,54.9,75.4,456.6,1588.8,3459.2,0.18,0.86,2.39,14.33,"2017-06-23","Piso","Cálido",82.85,90.4,83.85,79.15,17.2,107.4,271.6,307.8,108,111.5,105.5,108,1.6205,1.619,1.87,9.875,19.04,20.92,135.0415,134.9165,5.15,48.55,56.25,60.05,60.6,16.3,18.65,"Piso","Medio"
"GMT-555 GMT-200817",79,273,855,1179,71,63,76,86,17,23.8,43.9,87.6,119.3,596.9,2266.5,4420.1,0.21,0.32,0.53,0.74,"2017-08-20","Batería Automática","Cálido",93.1,90,80.8,77,25.4,121.2,295.7,334.3,115,115,109,106,1.638,1.641,1.05,3.93,11.62,13.73,136.5,136.75,10.4,52.2,56.8,60.7,61.2,18,20.5,"Piso","Medio"
"GMT-555-200817",79,273,855,1179,71,63,76,86,17,23.8,43.9,87.6,119.3,596.9,2266.5,4420.1,0.21,0.32,0.53,0.74,"2017-08-20","Batería Automática","Cálido",86.4,89.8,80.9,NA,18.3,101.7,253.9,NA,108,118,109,NA,1.755,NA,3.18,11.7,25.84,NA,146.25,NA,7.6,51.2,54.9,58,0,14.7,NA,"Piso","Cálido"
"GMT-556-131017",80,346,914,1299,81,84,87,89,18.7,29.8,52.7,76.2,130.6,598.9,2548.7,4534.2,0.17,0.73,0.82,1.01,"2017-10-13","Piso","Cálido",84.7,89.7,63.4,70.6,29.3,118.8,280.6,310.1,115,115,88,98,1.664,1.666,3.14,8.68,23.45,31.9,138.667,138.833,4.2,49.9,55.2,57.9,58.4,16.2,18.1,"Piso","Cálido"
"GMT-557-131017",85,284,888,1226,81,73,87,91,11.9,22.8,60,60.7,83.5,492.9,2401.1,4250.5,0.13,0.75,1.01,1.7,"2017-10-13","Piso","Cálido",91.3,90.1,83.6,77.7,22.8,117,290.6,327.2,110,117,112,114,1.641,1.646,0.95,4.72,16.49,20.71,136.75,137.167,16.5,45.8,54.8,58.6,59,17,19.3,"Piso","Medio"
"GMT-558-081217",74,287,859,NA,63,72,88.2,NA,11.2,23.5,57.8,NA,78.5,478.8,2342.2,NA,0.41,0.78,1.08,NA,"2017-12-08","Piso","Cálido",92.2,89.7,81.1,NA,29.7,123,296.7,NA,116,116,112,NA,1.604,NA,1.13,6.27,15.04,NA,133.667,NA,10.8,50.8,56.9,59.5,0,17.7,NA,"Piso","Medio"
"GMT-559-130118",70,278,881,1205,56,64,74,87,22.4,27.7,57,59.4,156.6,597,2486.7,4176.3,0.14,0.48,1.05,1.65,"2018-01-13","Batería Ambiente","Cálido",80.7,89.3,80,74.6,23.8,112.3,285.1,322,111,114,110,108,1.667,1.673,0.9,5.05,12.07,15.24,138.917,139.417,18,46.3,55.4,60.4,61,17.2,19.6,"Piso","Medio"
"GMT-560-090218",77,294,946,1266,74,69,88,87,13.3,27.2,56.8,60.6,93.1,533.7,2328.5,4114.5,0.16,0.6,0.73,1.03,"2018-02-09","Piso","Cálido",95.2,91.9,79.8,72.2,39.6,132.7,312.5,350.5,115,114,109,107,1.578,1.593,0.54,2.3,8.93,11.48,131.5,132.75,9.3,49.4,57,61.2,61.6,19.1,21.6,"Piso","Medio"
"GMT-561-230218",80,317,894,1240,65,71,84,88,11,25.7,53.9,62,77,494.7,2323.2,4024.2,0.31,0.63,0.9,1.05,"2018-02-23","Piso","Cálido",93.45,94.6,83.5,76,29.9,125.45,305.9,343.85,104.5,115.5,108.5,100.5,1.534,1.5395,0.52,5.905,14.595,19.13,127.833,128.2915,8.45,49.4,56.4,59.45,59.85,18.15,20.6,"Piso","Medio"
"GMT-563M-010618",89,283,838,1236,77,69,77,87.4,20.3,26.5,54.7,71.1,142.2,582.5,2327.9,4091.4,0.11,0.39,1.07,1.46,"2018-06-01","Piso","Cálido",94.8,96.1,84.7,76.8,22.6,122.9,316.7,355.8,114,114,107,107,1.546,1.548,0.76,2.33,7.02,13.18,128.833,129,14.6,52.3,58.2,61.1,61.3,19.3,21.8,"Piso","Medio"
"GMT-563R-010618",89,283,860,1241,77,69,82,84,20.4,26.4,55.4,69.3,142.6,580.1,2331.6,4111.5,0.11,0.39,1.08,1.28,"2018-06-01","Piso","Cálido",92.1,94.2,84,79.4,19.2,117.1,305.2,344.2,113,113,108,108,1.559,1.563,1.13,3.97,9.07,12.9,129.917,130.25,16.6,52.1,58,60.9,61.2,18.6,21.1,"Piso","Medio"
"GMT-564-220618",86,321,919,1251,81,78,87,86,13.1,25,56.7,64.1,91.4,539,2316.8,4054.7,0.4,0.86,1.22,1.28,"2018-06-22","Piso","Cálido",93.3,88.85,82.65,77.7,29.2,121.15,276.55,309.9,114,114,109,107.5,1.6155,1.6175,0.81,8.495,24.545,26.535,134.625,134.792,8.9,51.4,55.65,58.55,58.85,16.2,18.3,"Piso","Medio"
"GMT-566-140918",83,285,865,1246,79,72,74,81,12,24.7,55.7,73.6,84.1,480.6,2341.5,4266.1,0.19,0.62,1.38,1.59,"2018-09-14","Piso","Cálido",96.3,93.7,82.2,76.5,36.2,135.4,322.5,362.1,103,114,112,111,1.462,1.485,0.44,2.58,9.65,12.3,121.833,123.75,12,52.8,58.4,61.2,61.5,19.7,22.3,"Piso","Medio"
"GMT-568-051018",72,266,880,1243,79,72,85,90,12.6,22.7,50.2,56.1,88.3,549.1,2135.9,3847.2,0.11,0.55,0.95,1.12,"2018-10-05","Piso","Cálido",97.3,96.5,85.3,79.6,33.6,135.2,331.1,373.4,110,110,108,104,1.466,1.477,0.28,1.49,6.37,8.28,122.167,123.083,22.7,51.2,55.8,57.4,57.9,19,21.6,"Piso","Medio"
"GMT-569-091018",65,266,849,1236,67,74,81,86,15.1,28,55,64.3,105.8,593.6,2328,4048.5,0.23,0.66,1.36,1.53,"2018-10-09","Piso","Cálido",97.1,92.7,84,77.6,32.6,132.1,317.1,356.8,111,112,111,107,1.512,1.525,0.35,2.96,10.86,12.39,126,127.083,13.4,51.4,56.3,58,58.5,18.4,20.9,"Piso","Medio"
"GMT-570-231118",84,272,844,NA,78,66,81,NA,12.6,24.5,53.2,NA,88.4,513.2,2215.2,NA,0.21,0.43,0.83,NA,"2018-11-23","Piso","Cálido",92.8,86.4,82.8,77.8,29.8,120.1,273,305,112,111,108,112,1.649,1.646,1.04,7.14,25.6,30.74,137.417,137.167,6.1,49.4,53.1,56.3,56.4,15.4,17.2,"Piso","Cálido"
"GMT-571-010219",79,302,845,1254,87,77,84,85,16.2,23,51.3,60.8,113.2,561.1,2244.1,4037.4,0.16,0.45,0.63,1.04,"2019-02-01","Piso","Cálido",94.3,93.1,79.3,74.4,38.9,136.4,323,362.8,112,113,107,102,1.476,1.492,0.63,1.98,6.35,8.92,123,124.333,2.3,46.7,52.1,56.3,56.7,18.2,20.6,"Piso","Medio"
"GMT-573-150319",82,265,823,1196,80,66,75,87,11.9,23.5,48.7,65,83.2,473.5,2147.9,3819.7,0.21,0.76,1.21,1.73,"2019-03-15","Batería Automática","Cálido",89.4,91.5,82.5,76.5,21.1,116.3,290.3,327.1,109,114,107,105,1.568,1.572,1.11,4.98,15.52,17.99,130.667,131,-1.2,46.6,53.5,57.2,57.6,16.6,18.8,"Piso","Medio"
"GMT-575-280519",83,296,838,1182,86,79,84,84,15,22.6,52.5,55.6,104.9,589.7,2177.5,3757.3,0.11,0.33,0.84,1.15,"2019-05-28","Batería Automática","Cálido",89.4,88.2,NA,NA,19.6,106.6,NA,NA,102,108,NA,NA,NA,NA,0.94,10.81,NA,NA,NA,NA,19.7,50.3,51.2,0,0,NA,NA,"Piso","Cálido"
"GMT-575Mo-270519",83,296,838,1182,86,79,84,84,15,22.6,52.5,55.6,104.9,589.7,2177.5,3757.3,0.11,0.33,0.84,1.15,"2019-05-28","Batería Automática","Cálido",95.2,79.2,NA,NA,24.8,120.7,NA,NA,108,100,NA,NA,NA,NA,0.63,3.75,NA,NA,NA,NA,22.7,52.9,54.7,0,0,NA,NA,"Piso","Medio"
"GMT-576-260719",77,241,826,1154,74,68,75,80,11.2,21.9,51.2,66.8,78.7,442.9,2080.6,3819.3,0.29,0.64,1.34,1.87,"2019-07-26","Batería Automática","Cálido",87.4,93.9,NA,NA,17.6,114.9,NA,NA,100,112,NA,NA,NA,NA,0.4,3.42,NA,NA,NA,NA,26.7,50.9,56.9,0,0,NA,NA,"Piso","Medio"
"GMT-578-060919",79,256,827,1197,81,67,78,80,13.2,19.5,53.3,64.6,92.7,494.6,2201.2,3908.8,0.08,0.37,1.05,1.89,"2019-09-06","Batería Automática","Cálido",89.5,93.6,NA,NA,23.3,118.3,NA,NA,106.5,113.5,NA,NA,NA,NA,1.22,6.64,NA,NA,NA,NA,21.35,45.9,54.05,0,0,NA,NA,"Piso","Medio"
"GMT-579-270919",76,252,795,1090,69,70,80,69,9,21.2,47.2,62.3,62.8,393.4,2022,3651.8,0.85,1.69,2.39,4.06,"2019-09-27","Batería Automática","Cálido",90.2,88.55,NA,NA,25.45,118.05,NA,NA,111.5,113,NA,NA,NA,NA,0.985,7.57,NA,NA,NA,NA,3.6,52.15,55.4,0,0,NA,NA,"Piso","Medio"
"GMT-580-131219",81,307,874,1197,84,80,90,87,16.1,21.9,50.7,64.3,113,526.6,2166.1,3865.7,0.23,0.39,1.05,1.39,"2019-12-13","Batería Automática","Cálido",96.2,94.6,NA,NA,34.1,133.3,NA,NA,110,112,NA,NA,NA,NA,0.73,2.08,NA,NA,NA,NA,10.9,50.6,54.3,0,0,NA,NA,"Piso","Medio"
"GMT-581-201219",75,280,827,NA,87,64.3,63.5,NA,13.9,29.3,42.4,NA,97.6,575.9,2177.6,NA,0.06,0.39,0.92,NA,"2019-12-20","Batería Ambiente","Cálido",95.7,NA,NA,NA,26.7,NA,NA,NA,113,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,14.5,50.6,0,0,0,NA,NA,"Piso","Medio"
"GS-C47-AM6-110119",78,266,864,1248,69.8,83.3,92.8,85.4,10.6,35.1,55.1,62.6,74,594.5,2508.3,4170.1,0.24,2.23,3.07,3.19,"2019-01-11","Piso","Cálido",89.1,92.5,76.8,76.8,25.6,120.6,299.5,339.1,111,115,114,115,1.693,1.704,0.44,3.06,8.17,9.09,141.083,142,7.8,55.2,57.6,59.5,59.9,17.8,20.3,"Jaula Tradicional","Cálido"
"GS-CH33-C45-AM2-250518",76,282,857,1190,87,79,93,94.4,9.1,31.8,58.3,67.9,63.5,573.9,2551.8,4372.5,0.15,0.4,0.7,0.79,"2018-05-25","Batería Automática","Cálido",88.6,89.4,82.7,118.5,25.1,121.6,309.5,347.4,103,104,114,173,1.563,1.582,1.21,2.88,5.93,6.8,130.25,131.833,0,52.7,57.6,59.3,59.6,18.4,20.7,"Batería Automática","Cálido"
"GY-135-090218",68,245,785,1112,78.5,67.9,75,79.65,8.9,23.8,59.95,66.4,62.3,488.95,2698.75,4503.65,0.52,0.91,1.46,1.705,"2018-02-09","Jaula Tradicional","Frío",47,0,0,0,22.5,NA,NA,NA,57.5,0,0,0,NA,NA,0.43,NA,NA,NA,NA,NA,8.75,29,0,0,0,NA,NA,"Jaula Tradicional","Frío"
"HDG-15-100418",73,293,957,1361,87.5,73.5,76.9,88.5,12.6,30.2,59.8,81.8,88.4,595.5,2865,5413.1,0.18,1.42,10.34,22.05,"2019-01-29","Piso","Frío",96.5,91.6,NA,NA,33,131.6,NA,NA,114,115,NA,NA,NA,NA,0.1,1.27,NA,NA,NA,NA,17.6,53.6,58.1,0,0,NA,NA,"Jaula Tradicional","Frío"
"IA-3-280818",67,249,NA,NA,85.2,86.4,85.1,84.4,10.5,31.7,54.8,66,73.7,586.1,2505.8,4237.1,0.2,0.47,0.69,0.92,"2019-06-11","Piso","Cálido",90.1,91.1,80.7666666666667,76,28.1666666666667,121.733333333333,303.033333333333,344,116.666666666667,117.666666666667,115.666666666667,114.333333333333,1.67166666666667,1.68033333333333,1.34333333333333,4.05,6.67666666666667,7.26666666666667,139.305666666667,140.028,0.4,52.3,57.4,59.7666666666667,60.2333333333333,18.1333333333333,20.7,"Piso","Cálido"
"IA-8-110619",78,268,829,1169,83,NA,NA,NA,10.3,NA,NA,NA,71.9,NA,NA,NA,0.31,NA,NA,NA,"2020-12-01","Piso","Cálido",95.25,93.05,NA,NA,24.45,121.7,NA,NA,116,118,NA,NA,NA,NA,1.015,2.52,NA,NA,NA,NA,26.85,51.85,57.15,0,0,NA,NA,"Piso","Cálido"
"ICR-78-030117",71,329,986,1413,89.5,87,76,75,14.6,37.3,65,70,102.2,626.6,2554.9,4461.9,0.13,0.21,0.53,0.66,"2017-05-09","Jaula Tradicional","Frío",88.2,92.2,85.5,80.6,23.1,121.2,318,362.7,109,109,111,112,1.531,1.539,0.49,1.04,2.84,3.67,127.583,128.25,17.4,52,0,60.6,0,19.3,0,"Batería Automática","Frío"
"ICR-79-090517",73,341,911,1269,91.6,83.8,83,90,14.4,33.2,61.5,70.7,101.1,614.8,2618.3,4410.2,0.07,0.13,0.17,0.25,"2017-10-03","Jaula Tradicional","Frío",82.35,89.6,84.2,77.5,17.95,112.55,314.9,358.2,109,113.5,113,80,1.596,1.594,0.575,1.425,3.44,4.41,133,132.833,10.5,28.8,0,31.5,31.65,19.8,22.7,"Batería Automática","Frío"
"ICR-80-031017",81,333,955,1339,85.4,85.4,88.8,86,12.7,33.6,60.8,61.6,89.2,664.1,2792.9,4445.5,0.14,0.23,0.3,0.43,"2018-02-20","Jaula Tradicional","Frío",95.9,94.3,81,76.2,31.3,131.7,328.6,371.4,110,129,111,108,1.548,1.563,0.24,0.64,2.03,3.22,129,130.25,21,55.2,0,61.2,61.6,20.1,22.9,"Batería Automática","Frío"
"ICR-81B-A-200218",83,307,963,1218,83.9,80.8,87.8,91.6,14,27.6,59.7,69.3,98,636.9,2717,4565.7,0.12,0.27,0.41,0.48,"2018-09-04","Batería Automática","Frío",109.5,120.5,107.9,NA,29,154.9,402.6,NA,119,141,131,NA,1.556,NA,1.28,1.99,4.33,NA,129.667,NA,19.3,55.9,59.7,61.8,0,24.9,NA,"Batería Automática","Frío"
"ICR-82-040918",86,290,999,1348,79.6,83.5,84.2,93.6,15.1,22.4,61.2,69.8,105.9,573.4,2691.7,4632.5,0.11,0.22,0.24,0.31,"2019-01-29","Batería Automática","Frío",96.5,93.1,72.4,61,36.5,135.7,300.2,328.2,108,107,111,108,1.531,1.567,0.59,1.34,23.96,25.39,127.583,130.583,11.9,51.9,56.7,59.5,60.1,17.9,19.7,"Jaula Tradicional","Frío"
"ICR-85-301219",87,334,964,1305,NA,NA,NA,NA,8.6,28.5,60.6,78.6,60,486.1,2440.6,4487.3,0.1,0.31,0.51,0.53,"2017-01-20","Batería Automática","Frío",97.4,95.3,NA,NA,36.3,131,NA,NA,110,113,NA,NA,NA,NA,0.81,3.35,NA,NA,NA,NA,12.8,50.6,55.7,0,0,NA,NA,"Batería Automática","Frío"
"JT-7-200117",72,273,860,1268,79.3,70,80.2,87.4,12.6,32.9,56.5,79.9,88.4,655,2545.1,4585.2,0.16,0.48,1.21,1.33,"2016-09-06","Jaula Tradicional","Frío",95.9,94.5,NA,NA,30.15,128,NA,NA,116.5,119,NA,NA,NA,NA,0.55,2.36,NA,NA,NA,NA,0,0,0,0,0,NA,NA,"Jaula Tradicional","Frío"
"LD-56-060916",77,286,863,1233,78,68.7,81.3,85.5,11.9,34.5,60.6,79.8,83.3,646.3,2595.4,4665.2,0.39,0.71,1.32,1.49,"2016-12-12","Piso","Cálido",90.4,35.1,83.75,78.55,25,111,286.25,327.95,103.333333333333,75,114,115,1.7425,1.7375,0.39,5.85666666666667,7.63,8.105,145.208,144.792,11.7666666666667,52.5333333333333,55.9666666666667,38.8333333333333,39,16.65,19.2,"Piso","Cálido"
"LD-57-121216",75,273,850,1215,80,67,80.4,83.7,11.6,39.4,55.3,79.6,81.3,765.2,2707,4725.3,0.27,0.58,1.32,1.53,"2017-06-27","Piso","Cálido",67.6,82.4,83.4,NA,22.65,99.1,262.6,NA,88.5,101,113,NA,1.621,NA,1.015,7.9,16.23,NA,135.083,NA,13.85,52.9,28.6,30.05,0,15.8,NA,"Jaula Tradicional","Cálido"
"LD-59-270617",78,276,857,1166,79,66,81,88.1,13,33.6,60.4,80.4,90.8,743,2759.2,4816.6,0.27,0.72,2.19,2.66,"2017-10-03","Piso","Cálido",89.9,87,NA,NA,26.6,119.3,NA,NA,103,107,NA,NA,NA,NA,0.35,1.74,NA,NA,NA,NA,27.7,53.4,59.7,0,0,NA,NA,"Jaula Tradicional","Cálido"
"LD-60-031017",73,255,840,1229,NA,67.7,79.8,85.4,11,34.5,61.2,75.8,76.8,690.9,2674.8,4698.3,0.14,0.62,1.48,1.77,"2018-01-09","Piso","Cálido",93.3666666666667,92.4,79.2333333333333,75.9,25.4,121.833333333333,285.4,319.766666666667,99,111.333333333333,104.333333333333,110.666666666667,1.55666666666667,1.566,1.04333333333333,3.03333333333333,19.6533333333333,20.9666666666667,129.722,130.5,22.0333333333333,34.8,38.7,40.1666666666667,40.4,11.5333333333333,12.9666666666667,"Jaula Tradicional","Cálido"
"LD-61-090118",74,255,810,1198,80,75,NA,85,13.4,32.7,54,78.1,93.8,646.5,2492.3,4450.2,0.26,0.68,1.15,1.41,"2018-07-27","Piso","Cálido",92.8666666666667,92.2666666666667,84.5666666666667,78.9333333333333,26.5666666666667,121.166666666667,291.366666666667,329.9,105.666666666667,108,111,105,1.519,1.52666666666667,0.513333333333333,5.91,15.8766666666667,17.6,126.583333333333,127.222333333333,20.2666666666667,53.5333333333333,57.8,39.9666666666667,40.2333333333333,11.8,13.4333333333333,"Jaula Tradicional","Cálido"
"LD-64-301018",79,280,860,1204,83,78,82,NA,11.4,29.9,56.2,NA,79.7,588.8,2582.1,NA,0.2,0.58,1.49,NA,"2019-05-14","Piso","Cálido",86.55,82.35,NA,NA,21,106.15,NA,NA,101,107,NA,NA,NA,NA,2.52,9.68,NA,NA,NA,NA,21.5,52.15,56.9,0,0,NA,NA,"Batería Automática","Cálido"
"PCH-20-170516",81,331,NA,1318,83.1,95.1,NA,NA,14.9,27.9,NA,NA,104,523.5,NA,NA,0.21,0.68,NA,NA,"2017-02-01","Jaula Tradicional","Cálido",NA,93.8,85.2,79.7,NA,130.4,323.2,367.3,NA,109,107,106,1.477,1.487,NA,1.4,3.12,3.77,123.083,123.917,NA,NA,59.8,61.6,62.1,19.9,22.8,"Batería Automática","Cálido"
"PCH-22-010217",72,279,NA,1250,84.6,89.8,87.6,88.7,15.4,34.1,56.7,72.9,108.1,652.4,2658.9,4527.9,0.28,0.39,0.57,0.85,"2017-06-03","Jaula Tradicional","Cálido",96.6,94.8,83.5,80,29.7,127,318.9,361.8,108,112,110,110,1.517,1.529,0.62,3.33,5.38,6.35,126.417,127.417,18.4,54.8,60.9,62.8,63,20,22.8,"Jaula Tradicional","Cálido"
"PCH-23-030617",82,357,955,1398,78.6,98.5,81,87.9,17.1,35.4,45.4,74.3,119.5,670.5,2557.8,4533.6,0.62,0.74,1.05,1.14,"2017-09-20","Jaula Tradicional","Cálido",95.3,94.3,86,80.3,29,128.2,326.2,371.6,113,111,110,109,1.509,1.516,0.29,0.93,2.62,3.37,125.75,126.333,15.4,54,59.1,61.3,61.6,20,22.9,"Batería Automática","Cálido"
"PCH-24-200917",84,318,899,1350,68.6,90.4,88,86.5,15.5,32.2,55.9,74.4,108.7,643.4,2642,4562.8,0.38,0.49,0.7,1.02,"2018-01-06","Jaula Tradicional","Cálido",96.3,93.6,85.9,79.8,33.6,133.1,330.9,375.7,108,107,107,107,1.478,1.487,0.38,1.01,2.63,3.31,123.167,123.917,15.5,52.9,57.7,60.2,60.4,19.9,22.7,"Batería Automática","Cálido"
